ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760671602180411502,bybit,orderbook,1760671602142000000,1760671602145000000,0.09835062,,market,,,,,,,,,,,
1760671602189760618,bybit,bbo,1760671602151000000,1760671602154000000,0.09833563,,market,,,,,,,,,,,
1760671602199885568,bybit,orderbook,1760671602161000000,1760671602164000000,0.09834100,,market,,,,,,,,,,,
1760671602209719847,bybit,bbo,1760671602173000000,1760671602174000000,0.09835100,,market,,,,,,,,,,,
1760671602203553656,gate,bbo,1760671602202000000,1760671602203000000,0.09835000,,market,,,,,,,,,,,
1760671602208098179,bitget,orderbook,1760671602204000000,1760671602206000000,0.09830776,,market,,,,,,,,,,,
1760671602219824192,bybit,orderbook,1760671602181000000,1760671602184000000,0.09835100,,market,,,,,,,,,,,
1760671602239817343,bybit,orderbook,1760671602203000000,1760671602204000000,0.09835100,,market,,,,,,,,,,,
1760671602250651121,binance,trade,1760671602097000000,1760671602249000000,0.09836625,sell,market,,,,,,,,,,,
1760671602259765577,bybit,orderbook,1760671602216000000,1760671602224000000,0.09835100,,market,,,,,,,,,,,
1760671602269314808,bitget,orderbook,1760671602266000000,1760671602206000000,0.09835276,,market,,,,,,,,,,,
1760671602269314808,bitget,bbo,1760671602266000000,1760671602267000000,0.09836976,,market,,,,,,,,,,,
1760671602279780148,bybit,orderbook,1760671602236000000,1760671602244000000,0.09835100,,market,,,,,,,,,,,
1760671602296566558,binance,bbo,1760671602295000000,1760671602295000000,0.09835625,,market,,,,,,,,,,,
1760671602299884347,bybit,orderbook,1760671602256000000,1760671602264000000,0.09835154,,market,,,,,,,,,,,
1760671602300798580,binance,bbo,1760671602300000000,1760671602300000000,0.09836133,,market,,,,,,,,,,,
1760671602298537903,binance,trade,1760671602295000000,1760671602297000000,0.09836633,buy,market,,,,,,,,,,,
1760671602307571978,gate,bbo,1760671602306000000,1760671602307000000,0.09836500,,market,,,,,,,,,,,
1760671602320114173,bybit,orderbook,1760671602282000000,1760671602285000000,0.09835304,,market,,,,,,,,,,,
1760671602335234341,gate,bbo,1760671602333000000,1760671602334000000,0.09837500,,market,,,,,,,,,,,
1760671602339973468,bybit,orderbook,1760671602302000000,1760671602304000000,0.09835414,,market,,,,,,,,,,,
1760671602352372370,binance,bbo,1760671602350000000,1760671602350000000,0.09837202,,market,,,,,,,,,,,
1760671602354602922,gate,bbo,1760671602353000000,1760671602354000000,0.09838500,,market,,,,,,,,,,,
1760671602359682357,bybit,orderbook,1760671602322000000,1760671602324000000,0.09835414,,market,,,,,,,,,,,
1760671602370640512,bitget,orderbook,1760671602366000000,1760671602358000000,0.09837303,,market,,,,,,,,,,,
1760671602370640512,bitget,bbo,1760671602366000000,1760671602368000000,0.09838253,,market,,,,,,,,,,,
1760671602380070285,bybit,orderbook,1760671602334000000,1760671602345000000,0.09836691,,market,,,,,,,,,,,
1760671602390035013,bybit,bbo,1760671602350000000,1760671602355000000,0.09837691,,market,,,,,,,,,,,
1760671602389757714,binance,bbo,1760671602388000000,1760671602389000000,0.09844632,,market,,,,,,,,,,,
