ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760021279581031000,bybit,orderbook,0.24378903,,market,,,,,,,,,,,
1760021279613000000,bybit,bbo,0.24378903,,market,,,,,,,,,,,
1760021279578000000,binance,bbo,0.24380140,,market,,,,,,,,,,,
1760021279585000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279574705000,bitget,orderbook,0.24374801,,market,,,,,,,,,,,
1760021279597000000,bitget,bbo,0.24374801,,market,,,,,,,,,,,
1760021279601465000,bybit,orderbook,0.24378871,,market,,,,,,,,,,,
1760021279607000000,binance,bbo,0.24380096,,market,,,,,,,,,,,
1760021279610000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279622900000,bybit,orderbook,0.24378871,,market,,,,,,,,,,,
1760021279641628000,bybit,orderbook,0.24378871,,market,,,,,,,,,,,
1760021279662861000,bybit,orderbook,0.24378871,,market,,,,,,,,,,,
1760021279661000000,binance,bbo,0.24380096,,market,,,,,,,,,,,
1760021279648082000,bitget,orderbook,0.24374808,,market,,,,,,,,,,,
1760021279671000000,bitget,bbo,0.24374808,,market,,,,,,,,,,,
1760021279682202000,bybit,orderbook,0.24378871,,market,,,,,,,,,,,
1760021279683000000,binance,bbo,0.24380096,,market,,,,,,,,,,,
1760021279701450000,bybit,orderbook,0.24378840,,market,,,,,,,,,,,
1760021279700000000,binance,bbo,0.24380053,,market,,,,,,,,,,,
1760021279712000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279720929000,bybit,orderbook,0.24378840,,market,,,,,,,,,,,
1760021279716000000,binance,bbo,0.24380053,,market,,,,,,,,,,,
1760021279657000000,binance,trade,0.24380553,buy,market,,,,,,,,,,,
1760021279713450000,bitget,orderbook,0.24374815,,market,,,,,,,,,,,
1760021279736000000,bitget,bbo,0.24374815,,market,,,,,,,,,,,
1760021279741277000,bybit,orderbook,0.24378840,,market,,,,,,,,,,,
1760021279741000000,binance,bbo,0.24380053,,market,,,,,,,,,,,
1760021279762268000,bybit,orderbook,0.24378824,,market,,,,,,,,,,,
1760021279802000000,bybit,trade,0.24378324,sell,market,,,,,,,,,,,
1760021279771000000,gate,bbo,0.24375500,,market,,,,,,,,,,,
1760021279780370000,bybit,orderbook,0.24378824,,market,,,,,,,,,,,
1760021279813000000,bybit,bbo,0.24378824,,market,,,,,,,,,,,
1760021279794000000,binance,bbo,0.24380032,,market,,,,,,,,,,,
1760021279773615000,bitget,orderbook,0.24374818,,market,,,,,,,,,,,
1760021279796000000,bitget,bbo,0.24374818,,market,,,,,,,,,,,
1760021279802230000,bybit,orderbook,0.24378784,,market,,,,,,,,,,,
1760021279815000000,binance,bbo,0.24379982,,market,,,,,,,,,,,
1760021279814000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279794094000,bitget,orderbook,0.24374815,,market,,,,,,,,,,,
1760021279816000000,bitget,bbo,0.24374815,,market,,,,,,,,,,,
1760021279821048000,bybit,orderbook,0.24378784,,market,,,,,,,,,,,
1760021279817760000,bitget,orderbook,0.24374815,,market,,,,,,,,,,,
1760021279838000000,bitget,bbo,0.24374815,,market,,,,,,,,,,,
1760021279840823000,bybit,orderbook,0.24378748,,market,,,,,,,,,,,
1760021279874000000,bybit,bbo,0.24378748,,market,,,,,,,,,,,
1760021279851000000,binance,bbo,0.24379934,,market,,,,,,,,,,,
1760021279844000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279849000000,gate,trade,0.24375000,buy,market,,,,,,,,,,,
1760021279836002000,bitget,orderbook,0.24374814,,market,,,,,,,,,,,
1760021279858000000,bitget,bbo,0.24374814,,market,,,,,,,,,,,
1760021279861719000,bybit,orderbook,0.24378729,,market,,,,,,,,,,,
1760021279872000000,binance,bbo,0.24379910,,market,,,,,,,,,,,
1760021279716000000,binance,trade,0.24379410,sell,market,,,,,,,,,,,
1760021279870000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279861716000,bitget,orderbook,0.24374813,,market,,,,,,,,,,,
1760021279878000000,bitget,bbo,0.24374813,,market,,,,,,,,,,,
1760021279881471000,bybit,orderbook,0.24378705,,market,,,,,,,,,,,
1760021279884000000,binance,bbo,0.24378885,,market,,,,,,,,,,,
1760021279881000000,gate,bbo,0.24373500,,market,,,,,,,,,,,
1760021279875228000,bitget,orderbook,0.24374807,,market,,,,,,,,,,,
1760021279898000000,bitget,bbo,0.24374807,,market,,,,,,,,,,,
1760021279901330000,bybit,orderbook,0.24378682,,market,,,,,,,,,,,
1760021279933000000,bybit,bbo,0.24378682,,market,,,,,,,,,,,
1760021279898000000,binance,bbo,0.24378861,,market,,,,,,,,,,,
1760021279899000000,gate,bbo,0.24373500,,market,,,,,,,,,,,
1760021279920189000,bybit,orderbook,0.24378633,,market,,,,,,,,,,,
1760021279953000000,bybit,bbo,0.24378633,,market,,,,,,,,,,,
1760021279962000000,bybit,trade,0.24378133,sell,market,,,,,,,,,,,
1760021279933000000,binance,bbo,0.24376322,,market,,,,,,,,,,,
1760021279929000000,binance,trade,0.24378322,sell,market,,,,,,,,,,,
1760021279934000000,gate,bbo,0.24372500,,market,,,,,,,,,,,
1760021279926000000,gate,trade,0.24374000,buy,market,,,,,,,,,,,
1760021279917228000,bitget,orderbook,0.24372805,,market,,,,,,,,,,,
1760021279938000000,bitget,bbo,0.24372305,,market,,,,,,,,,,,
1760021279942365000,bybit,orderbook,0.24375602,,market,,,,,,,,,,,
1760021279986000000,bybit,bbo,0.24375602,,market,,,,,,,,,,,
1760021279976000000,bybit,trade,0.24376102,sell,market,,,,,,,,,,,
1760021279952000000,binance,bbo,0.24375803,,market,,,,,,,,,,,
1760021279932000000,binance,trade,0.24376303,sell,market,,,,,,,,,,,
1760021279944000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021279935238000,bitget,orderbook,0.24370808,,market,,,,,,,,,,,
1760021279958000000,bitget,bbo,0.24370308,,market,,,,,,,,,,,
1760021279963310000,bybit,orderbook,0.24374584,,market,,,,,,,,,,,
1760021280003000000,bybit,bbo,0.24374584,,market,,,,,,,,,,,
1760021279987000000,bybit,trade,0.24375084,sell,market,,,,,,,,,,,
1760021279971000000,binance,bbo,0.24375784,,market,,,,,,,,,,,
1760021279956000000,gate,bbo,0.24371500,,market,,,,,,,,,,,
1760021279954567000,bitget,orderbook,0.24369811,,market,,,,,,,,,,,
1760021279978000000,bitget,bbo,0.24369811,,market,,,,,,,,,,,
1760021279980899000,bybit,orderbook,0.24374557,,market,,,,,,,,,,,
