ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760065292920000000,binance,trade,0.24841600,sell,market,,,,,,,,,,,
1760065293091827042,bitget,orderbook,0.24842400,,market,,,,,,,,,,,
1760065293100037345,bybit,orderbook,0.24841540,,market,,,,,,,,,,,
1760065293111222538,bitget,orderbook,0.24842400,,market,,,,,,,,,,,
1760065293106000000,bitget,bbo,0.24842400,,market,,,,,,,,,,,
1760065293120718042,bybit,orderbook,0.24841540,,market,,,,,,,,,,,
1760065293180000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293180000000,gate,trade,0.24843000,buy,market,,,,,,,,,,,
1760065293186861196,bitget,orderbook,0.24842426,,market,,,,,,,,,,,
1760065293182000000,bitget,bbo,0.24842426,,market,,,,,,,,,,,
1760065293201000000,binance,bbo,0.24842196,,market,,,,,,,,,,,
1760065293205000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293209437449,bitget,orderbook,0.24842429,,market,,,,,,,,,,,
1760065293204000000,bitget,bbo,0.24842429,,market,,,,,,,,,,,
1760065293242475111,bitget,orderbook,0.24842429,,market,,,,,,,,,,,
1760065293280951380,bybit,orderbook,0.24841661,,market,,,,,,,,,,,
1760065293300187165,bybit,orderbook,0.24841661,,market,,,,,,,,,,,
1760065293297000000,binance,bbo,0.24842196,,market,,,,,,,,,,,
1760065293329000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293341131619,bybit,orderbook,0.24841717,,market,,,,,,,,,,,
1760065293344000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293197000000,binance,trade,0.24841717,sell,market,,,,,,,,,,,
1760065293386000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293404000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293392928696,bitget,orderbook,0.24842438,,market,,,,,,,,,,,
1760065293425000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293440195246,bybit,orderbook,0.24841788,,market,,,,,,,,,,,
1760065293413000000,bybit,bbo,0.24841788,,market,,,,,,,,,,,
1760065293460193013,bybit,orderbook,0.24841788,,market,,,,,,,,,,,
1760065293488002036,bitget,orderbook,0.24842439,,market,,,,,,,,,,,
1760065293483000000,bitget,bbo,0.24842439,,market,,,,,,,,,,,
1760065293540859193,bybit,orderbook,0.24841788,,market,,,,,,,,,,,
1760065293542782142,bitget,orderbook,0.24842439,,market,,,,,,,,,,,
1760065293560481284,bybit,orderbook,0.24841788,,market,,,,,,,,,,,
1760065293622000000,binance,bbo,0.24842294,,market,,,,,,,,,,,
1760065293624000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293641000000,binance,bbo,0.24842300,,market,,,,,,,,,,,
1760065293643000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293692509479,bitget,orderbook,0.24842443,,market,,,,,,,,,,,
1760065293700207337,bybit,orderbook,0.24841829,,market,,,,,,,,,,,
1760065293720397472,bybit,orderbook,0.24841829,,market,,,,,,,,,,,
1760065293737000000,binance,bbo,0.24842306,,market,,,,,,,,,,,
1760065293739000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293760793380,bybit,orderbook,0.24841847,,market,,,,,,,,,,,
1760065293780592112,bybit,orderbook,0.24841865,,market,,,,,,,,,,,
1760065293788000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293800188271,bybit,orderbook,0.24841865,,market,,,,,,,,,,,
1760065293820060558,bybit,orderbook,0.24841865,,market,,,,,,,,,,,
1760065293828000000,binance,bbo,0.24842311,,market,,,,,,,,,,,
1760065293840142905,bybit,orderbook,0.24841882,,market,,,,,,,,,,,
1760065293838000000,binance,bbo,0.24842316,,market,,,,,,,,,,,
1760065293842000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293842748636,bitget,orderbook,0.24842447,,market,,,,,,,,,,,
1760065293852000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293896000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293927000000,binance,bbo,0.24842325,,market,,,,,,,,,,,
1760065293947000000,binance,bbo,0.24842329,,market,,,,,,,,,,,
1760065293941000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293936047340,bitget,orderbook,0.24842451,,market,,,,,,,,,,,
1760065293931000000,bitget,bbo,0.24842451,,market,,,,,,,,,,,
1760065293960153659,bybit,orderbook,0.24841940,,market,,,,,,,,,,,
1760065293969000000,binance,bbo,0.24842333,,market,,,,,,,,,,,
1760065293956000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065293992840784,bitget,orderbook,0.24842452,,market,,,,,,,,,,,
1760065294000840764,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065293991000000,gate,bbo,0.24842500,,market,,,,,,,,,,,
1760065294020129750,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294028000000,binance,bbo,0.24842337,,market,,,,,,,,,,,
1760065294040111558,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294036786416,bitget,orderbook,0.24842453,,market,,,,,,,,,,,
1760065294032000000,bitget,bbo,0.24842453,,market,,,,,,,,,,,
1760065294060422419,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294023000000,bybit,bbo,0.24841953,,market,,,,,,,,,,,
1760065294058000000,binance,bbo,0.24842337,,market,,,,,,,,,,,
1760065294080185735,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294100563648,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294120644460,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294140988278,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294142000000,binance,bbo,0.24842337,,market,,,,,,,,,,,
1760065294143270116,bitget,orderbook,0.24842453,,market,,,,,,,,,,,
1760065294160213376,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294180100829,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
1760065294188000000,binance,bbo,0.24842337,,market,,,,,,,,,,,
1760065294220249551,bybit,orderbook,0.24841953,,market,,,,,,,,,,,
