ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns,bid_px_1,bid_sz_1,bid_px_2,bid_sz_2,bid_px_3,bid_sz_3,bid_px_4,bid_sz_4,bid_px_5,bid_sz_5,ask_px_1,ask_sz_1,ask_px_2,ask_sz_2,ask_px_3,ask_sz_3,ask_px_4,ask_sz_4,ask_px_5,ask_sz_5,bid_depth,ask_depth
1764227723820179000,gate,orderbook,1764227723741000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,63.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,435.00000000
1764227723813519709,bitget,orderbook,1764227723761000000,1764227723763000000,143.62717391,,market,,,,,,,,,,,,143.62667391,47.00000000,143.61367391,3.30000000,143.61067391,139.80000000,143.60967391,12.80000000,143.60867391,5.40000000,143.62767391,528.20000000,143.62867391,5.50000000,143.62967391,98.00000000,143.63067391,117.10000000,143.63167391,98.00000000,208.30000000,846.80000000
1764227723811636375,okx,orderbook,1764227723746000000,1764227723706000000,143.62717391,,market,,,,,,,,,,,,143.62217391,11.67000000,143.61217391,65.37000000,143.60217391,228.92000000,143.59217391,887.88000000,143.58217391,1565.32000000,143.63217391,521.49000000,143.64217391,556.77000000,143.65217391,987.94000000,143.66217391,571.90000000,143.67217391,696.91000000,2759.16000000,3335.01000000
1764227723811636375,okx,bbo,1764227723746000000,1764227723746000000,143.62717391,,market,,,,,,,,,,,,143.62217391,11.67000000,,,,,,,,,143.63217391,521.49000000,,,,,,,,,11.67000000,521.49000000
1764227723808417667,okx,trade,1764227723743000000,,143.62217391,sell,market,,,0.07000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764227723823442834,bybit,orderbook,1764227723775000000,1764227723778000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,143.60312500,162.60000000,143.59312500,280.50000000,143.58312500,832.80000000,143.57312500,914.60000000,143.62312500,1840.00000000,143.63312500,365.30000000,143.64312500,600.90000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2332.40000000,5222.80000000
1764227723849443000,binance,orderbook,1764227723771000000,,143.62456522,,market,,,,,,,,,,,,143.61956522,269.47000000,143.60956522,292.54000000,143.59956522,542.71000000,143.58956522,872.76000000,143.57956522,2147.01000000,143.62956522,1144.42000000,143.63956522,564.19000000,143.64956522,399.55000000,143.65956522,802.63000000,143.66956522,725.08000000,4124.49000000,3635.87000000
1764227723860486084,okx,orderbook,1764227723796000000,1764227723706000000,143.62717391,,market,,,,,,,,,,,,143.62217391,11.67000000,143.61217391,65.37000000,143.60217391,228.92000000,143.59217391,887.88000000,143.58217391,1565.32000000,143.63217391,520.91000000,143.64217391,556.77000000,143.65217391,987.94000000,143.66217391,571.90000000,143.67217391,696.91000000,2759.16000000,3334.43000000
1764227723860486084,okx,bbo,1764227723796000000,1764227723796000000,143.62717391,,market,,,,,,,,,,,,143.62217391,11.67000000,,,,,,,,,143.63217391,520.91000000,,,,,,,,,11.67000000,520.91000000
1764227723854862709,okx,trade,1764227723788000000,,143.63217391,buy,market,,,0.58000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764227723864193625,bybit,orderbook,1764227723813000000,1764227723817000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,143.60312500,162.60000000,143.59312500,280.50000000,143.58312500,832.80000000,143.57312500,914.60000000,143.62312500,1840.00000000,143.63312500,365.30000000,143.64312500,600.90000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2332.40000000,5222.80000000
1764227723878015375,binance,bbo,1764227723800000000,1764227723800000000,143.62456522,,market,,,,,,,,,,,,143.61956522,269.57000000,,,,,,,,,143.62956522,1144.42000000,,,,,,,,,269.57000000,1144.42000000
1764227723879836084,gate,orderbook,1764227723741000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,63.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,435.00000000
1764227723873058250,okx,orderbook,1764227723796000000,1764227723806000000,143.62717391,,market,,,,,,,,,,,,143.62217391,11.67000000,143.61217391,65.37000000,143.60217391,228.92000000,143.59217391,887.88000000,143.58217391,1565.32000000,143.63217391,520.91000000,143.64217391,556.77000000,143.65217391,987.94000000,143.66217391,571.90000000,143.67217391,696.91000000,2759.16000000,3334.43000000
1764227723903651750,bybit,orderbook,1764227723854000000,1764227723857000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,143.60312500,162.60000000,143.59312500,398.30000000,143.58312500,832.80000000,143.57312500,914.60000000,143.62312500,1840.00000000,143.63312500,365.30000000,143.64312500,600.60000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2450.20000000,5222.50000000
1764227723913329500,binance,trade,1764227723681000000,1764227723835000000,143.61956522,sell,market,,,1.36000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764227723942465500,bybit,orderbook,1764227723889000000,1764227723897000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,143.60312500,162.60000000,143.59312500,398.30000000,143.58312500,832.80000000,143.57312500,914.60000000,143.62312500,1840.00000000,143.63312500,365.30000000,143.64312500,600.60000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2450.20000000,5222.50000000
1764227723953198584,binance,orderbook,1764227723873000000,,143.62456522,,market,,,,,,,,,,,,143.61956522,269.57000000,143.60956522,395.21000000,143.59956522,542.71000000,143.58956522,872.76000000,143.57956522,2147.01000000,143.62956522,1144.42000000,143.63956522,564.19000000,143.64956522,399.55000000,143.65956522,802.58000000,143.66956522,725.08000000,4227.26000000,3635.82000000
1764227723963977042,bybit,orderbook,1764227723912000000,1764227723917000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,143.60312500,162.60000000,143.59312500,398.30000000,143.58312500,832.80000000,143.57312500,914.60000000,143.62312500,1840.00000000,143.63312500,365.30000000,143.64312500,600.60000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2450.20000000,5222.50000000
1764227723979899375,gate,orderbook,1764227723901000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,63.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,435.00000000
1764227723971857375,bitget,orderbook,1764227723920000000,1764227723915000000,143.62717391,,market,,,,,,,,,,,,143.62667391,43.70000000,143.61367391,3.30000000,143.61167391,49.00000000,143.61067391,141.70000000,143.60967391,17.20000000,143.62767391,528.20000000,143.62867391,5.50000000,143.62967391,98.00000000,143.63067391,117.10000000,143.63167391,98.00000000,254.90000000,846.80000000
1764227723971857375,bitget,bbo,1764227723920000000,1764227723921000000,143.62717391,,market,,,,,,,,,,,,143.62667391,43.70000000,,,,,,,,,143.62767391,528.20000000,,,,,,,,,43.70000000,528.20000000
1764227723972374250,okx,orderbook,1764227723906000000,1764227723906000000,143.62717391,,market,,,,,,,,,,,,143.62217391,11.67000000,143.61217391,65.37000000,143.60217391,260.25000000,143.59217391,887.88000000,143.58217391,1565.32000000,143.63217391,520.91000000,143.64217391,556.77000000,143.65217391,987.94000000,143.66217391,571.90000000,143.67217391,696.91000000,2790.49000000,3334.43000000
1764227724002364250,bybit,orderbook,1764227723952000000,1764227723957000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,143.60312500,162.60000000,143.59312500,398.30000000,143.58312500,715.20000000,143.57312500,914.40000000,143.62312500,1839.90000000,143.63312500,365.30000000,143.64312500,600.60000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2332.40000000,5222.40000000
1764227723997018375,binance,bbo,1764227723918000000,1764227723918000000,143.62456522,,market,,,,,,,,,,,,143.61956522,269.57000000,,,,,,,,,143.62956522,1144.92000000,,,,,,,,,269.57000000,1144.92000000
1764227723983137625,mexc,orderbook,1764227723728000000,1764227723728000000,143.64500000,,market,,,,,,,,,,,,143.64000000,2947.00000000,143.63000000,2883.00000000,143.62000000,6343.00000000,143.61000000,38849.00000000,143.60000000,24095.00000000,143.65000000,15525.00000000,143.66000000,10641.00000000,143.67000000,5296.00000000,143.68000000,35367.00000000,143.69000000,9836.00000000,75117.00000000,76665.00000000
1764227724008823334,gate,orderbook,1764227723930000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,63.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,435.00000000
1764227724024850625,bybit,orderbook,1764227723968000000,1764227723978000000,143.61812500,,market,,,,,,,,,,,,143.61312500,141.90000000,143.60312500,162.60000000,143.59312500,398.30000000,143.58312500,715.20000000,143.57312500,914.40000000,143.62312500,1839.90000000,143.63312500,365.30000000,143.64312500,600.60000000,143.65312500,1284.70000000,143.66312500,1131.90000000,2332.40000000,5222.40000000
1764227724032097750,binance,bbo,1764227723955000000,1764227723955000000,143.62456522,,market,,,,,,,,,,,,143.61956522,269.57000000,,,,,,,,,143.62956522,1144.92000000,,,,,,,,,269.57000000,1144.92000000
1764227724060038459,binance,orderbook,1764227723982000000,,143.62458333,,market,,,,,,,,,,,,143.61958333,269.57000000,143.60958333,395.42000000,143.59958333,542.71000000,143.58958333,872.76000000,143.57958333,2146.80000000,143.62958333,1144.92000000,143.63958333,564.19000000,143.64958333,399.55000000,143.65958333,802.58000000,143.66958333,724.87000000,4227.26000000,3636.11000000
